Geo Point;Geo Shape;osm_id;type;name;operator;brand;opening_hours;wheelchair;cuisine;vegetarian;vegan;delivery;takeaway;internet_access;stars;capacity;drive_through;phone;website;facebook;smoking;commune;osm_edit;latitude;longitude
48.86942829972471, 2.3523125;"{""coordinates"": [2.3523125, 48.86942829972471], ""type"": ""Point""}";node/11572405765;fast_food;Crispy soul;Unknown;Unknown;;yes;chicken;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=11572405765;48.86942829972471;2.3523125
48.86167399972662, 2.3508982;"{""coordinates"": [2.3508982, 48.86167399972662], ""type"": ""Point""}";node/3512343285;bar;Demory Paris;Unknown;Unknown;"Mo-Sa 18:00-02:00; Su 12:00-18:00";yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=3512343285;48.86167399972662;2.3508982
48.87078769972436, 2.3484373;"{""coordinates"": [2.3484373, 48.87078769972436], ""type"": ""Point""}";node/7527003432;ice_cream;Amorino;Unknown;Amorino;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=7527003432;48.87078769972436;2.3484373
48.892441099719, 2.3252954;"{""coordinates"": [2.3252954, 48.892441099719], ""type"": ""Point""}";node/3018115038;bar;Bogibar;Unknown;Unknown;17:00 - 02:00;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=3018115038;48.892441099719;2.3252954
48.828063499734974, 2.3273657;"{""coordinates"": [2.3273657, 48.828063499734974], ""type"": ""Point""}";node/1579646872;cafe;Le Bouquet d'Alésia;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;wlan;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=1579646872;48.828063499734974;2.3273657
48.86281399972636, 2.3413464;"{""coordinates"": [2.3413464, 48.86281399972636], ""type"": ""Point""}";node/3059539672;restaurant;Café Joséphine;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=3059539672;48.86281399972636;2.3413464
48.82905439973471, 2.3276046;"{""coordinates"": [2.3276046, 48.82905439973471], ""type"": ""Point""}";node/1579656828;fast_food;Burger King;Restaurant Brands International;Burger King;Su-Th 10:00-02:00, Fr-Sa 10:00-06:00;yes;burger;yes;Unknown;Unknown;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=1579656828;48.82905439973471;2.3276046
48.83175829973405, 2.314964;"{""coordinates"": [2.314964, 48.83175829973405], ""type"": ""Point""}";node/10174735527;restaurant;New Thaï;Unknown;Unknown;;yes;thai;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 9 81 43 03 99;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=10174735527;48.83175829973405;2.314964
48.83366979973357, 2.3296041;"{""coordinates"": [2.3296041, 48.83366979973357], ""type"": ""Point""}";node/2872113863;restaurant;La Belle Ronde;Unknown;Unknown;Mo-Su 12:00-23:30;yes;crepe;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 1 43 20 20 79;https://www.lespetitestables.com/restaurant/la-belle-ronde/;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=2872113863;48.83366979973357;2.3296041
48.86662909972538, 2.3458928;"{""coordinates"": [2.3458928, 48.86662909972538], ""type"": ""Point""}";node/5180365680;restaurant;Wukong;Unknown;Unknown;;yes;asian;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=5180365680;48.86662909972538;2.3458928
48.831604899734096, 2.3139895;"{""coordinates"": [2.3139895, 48.831604899734096], ""type"": ""Point""}";node/4137857402;restaurant;BonJour;Unknown;Unknown;Mo-Su 11:00-22:00;yes;asian;Unknown;Unknown;Unknown;yes;Unknown;Unknown;Unknown;Unknown;+33 145439532;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=4137857402;48.831604899734096;2.3139895
48.83901199973223, 2.3303818;"{""coordinates"": [2.3303818, 48.83901199973223], ""type"": ""Point""}";node/3945050535;pub;Le Lithographe;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 1 77 13 26 08;http://www.lelithographe.fr/;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=3945050535;48.83901199973223;2.3303818
48.852128099729, 2.3409092;"{""coordinates"": [2.3409092, 48.852128099729], ""type"": ""Point""}";node/3765653694;bar;Les Insouciants;Unknown;Unknown;"Mo 08:00-23:59; Tu-We 00:00-00:30, 08:00-23:59; Th-Su 00:00-02:00, 08:00-23:59";yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=3765653694;48.852128099729;2.3409092
48.85383859972858, 2.338474;"{""coordinates"": [2.338474, 48.85383859972858], ""type"": ""Point""}";node/315769034;cafe;Le Buci;Unknown;Unknown;;yes;french;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 1 43 26 67 52;http://www.le-buci.com/;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=315769034;48.85383859972858;2.338474
48.86482219972586, 2.3475072;"{""coordinates"": [2.3475072, 48.86482219972586], ""type"": ""Point""}";node/250861679;restaurant;O' Scià;Unknown;Unknown;;yes;pizza,italian;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=250861679;48.86482219972586;2.3475072
48.85950959972717, 2.349137;"{""coordinates"": [2.349137, 48.85950959972717], ""type"": ""Point""}";node/2113353555;restaurant;Cœur de Breizh;Unknown;Unknown;"Mo-Fr 12:00-14:30,19:00-23:00; Sa-Su 12:00-23:00";yes;crepe;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 1 40 27 91 67;https://www.creperie-coeurdebreizh.com/;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=2113353555;48.85950959972717;2.349137
48.85619529972799, 2.3152892;"{""coordinates"": [2.3152892, 48.85619529972799], ""type"": ""Point""}";node/2964205333;cafe;Café du Musée;Unknown;Unknown;"Tu-Sa 08:00-20:00;Sa 09:00-20:00";yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33145512870;https://cafe-du-musee-paris.eatbu.com/?lang=fr;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=2964205333;48.85619529972799;2.3152892
48.85185349972907, 2.2772323;"{""coordinates"": [2.2772323, 48.85185349972907], ""type"": ""Point""}";node/6856045409;restaurant;Alfredo Positano;Unknown;Unknown;"12:00-14:30;19:00-22:30";yes;italian;Unknown;Unknown;Tu-Sa;Unknown;Unknown;Unknown;Unknown;Unknown;+33 1 46 51 93 54;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=6856045409;48.85185349972907;2.2772323
48.833097956618374, 2.3796914999964742;"{""coordinates"": [[[2.3794724, 48.833198599733706], [2.3794751, 48.833188899733706], [2.3794838, 48.8331809997337], [2.3796708, 48.83303409973372], [2.3797223, 48.832993799733735], [2.3797537, 48.83297329973376], [2.3797883, 48.832954499733745], [2.3798101, 48.83294629973377], [2.3798369, 48.83294109973377], [2.3798563, 48.83293879973375], [2.3798764, 48.83294169973376], [2.3798878, 48.832947699733765], [2.3798972, 48.83295669973376], [2.3799009, 48.83297059973375], [2.3798999, 48.83298429973374], [2.3798952, 48.832997099733745], [2.3798878, 48.83301039973374], [2.3798728, 48.833031499733735], [2.3798578, 48.833045299733755], [2.3798402, 48.83306129973373], [2.3796066, 48.83324449973366], [2.3796019, 48.833249399733674], [2.3795905, 48.833256199733675], [2.3795791, 48.833258199733685], [2.379567, 48.83325749973368], [2.3795452, 48.83325069973369], [2.3795137, 48.833235699733684], [2.3795019, 48.833228799733696], [2.3794865, 48.83321799973369], [2.3794751, 48.833208099733696], [2.3794724, 48.833198599733706]]], ""type"": ""Polygon""}";way/618744169;restaurant;Restaurant universitaire La Barge;CROUS;Unknown;Mo-Sa 11:00-14:00;yes;Unknown;yes;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?way=618744169;48.83309795661837;2.3796914999964742
48.82763909973507, 2.3289769;"{""coordinates"": [2.3289769, 48.82763909973507], ""type"": ""Point""}";node/7507039985;fast_food;LR Restauration rapide;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=7507039985;48.82763909973507;2.3289769
48.88773139972017, 2.3896863;"{""coordinates"": [2.3896863, 48.88773139972017], ""type"": ""Point""}";node/7433380833;bar;Le Bergerac;Unknown;Unknown;"Mo-Su 07:00-21:00 ""confinement tabac uniquement 11h-16h""";yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=7433380833;48.88773139972017;2.3896863
48.8476742997301, 2.352344;"{""coordinates"": [2.352344, 48.8476742997301], ""type"": ""Point""}";node/6061833540;fast_food;La Crêperie du 2bis;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;only;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;yes;Paris;https://www.openstreetmap.org/edit?node=6061833540;48.8476742997301;2.352344
48.864439099725935, 2.3530105;"{""coordinates"": [2.3530105, 48.864439099725935], ""type"": ""Point""}";node/5323735690;pub;Le Nid – Cocon Ludique;Unknown;Unknown;"PH,Mo 17:30-01:00; PH,Tu-Sa 13:30-01:00; PH,Su 14:30-22:00";yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 7 82 75 23 00;http://lenid-coconludique.com/;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=5323735690;48.864439099725935;2.3530105
48.88680989972039, 2.3406247;"{""coordinates"": [2.3406247, 48.88680989972039], ""type"": ""Point""}";node/4984397822;cafe;Starbucks;Unknown;Starbucks;;yes;coffee_shop;Unknown;Unknown;Unknown;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=4984397822;48.88680989972039;2.3406247
48.84861039972988, 2.3979238;"{""coordinates"": [2.3979238, 48.84861039972988], ""type"": ""Point""}";node/2875971179;restaurant;Le Café Du Trône;Unknown;Unknown;"Mo-Fr 07:00-23:30; Sa 08:00-23:00; Su 10:00-16:00";yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 1 43 48 53 66;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=2875971179;48.84861039972988;2.3979238
48.87335669972372, 2.3347461;"{""coordinates"": [2.3347461, 48.87335669972372], ""type"": ""Point""}";node/3811446460;restaurant;Midi 12;Unknown;Unknown;;yes;crepe;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=3811446460;48.87335669972372;2.3347461
48.87251779972392, 2.3755441;"{""coordinates"": [2.3755441, 48.87251779972392], ""type"": ""Point""}";node/5348537316;cafe;Baccara;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=5348537316;48.87251779972392;2.3755441
48.87163579972416, 2.3780921;"{""coordinates"": [2.3780921, 48.87163579972416], ""type"": ""Point""}";node/9286216906;restaurant;Babel;Unknown;Unknown;;yes;european;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;https://www.babel-belleville.com/en/;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=9286216906;48.87163579972416;2.3780921
48.86492109972581, 2.3332049;"{""coordinates"": [2.3332049, 48.86492109972581], ""type"": ""Point""}";node/3688287921;restaurant;Côme Pyramides;Unknown;Unknown;Mo-Fr 10:00-15:15;yes;bowl,pita;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;http://www.come-paris.fr;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=3688287921;48.86492109972581;2.3332049
48.84825249972996, 2.3194882;"{""coordinates"": [2.3194882, 48.84825249972996], ""type"": ""Point""}";node/254495985;restaurant;Chez Germaine;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=254495985;48.84825249972996;2.3194882
48.82725059973518, 2.3324296;"{""coordinates"": [2.3324296, 48.82725059973518], ""type"": ""Point""}";node/1744499753;fast_food;Exo Exquis;Unknown;Unknown;Mo-Sa 11:00-20:30;yes;asian;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=1744499753;48.82725059973518;2.3324296
48.861715299726605, 2.353572;"{""coordinates"": [2.353572, 48.861715299726605], ""type"": ""Point""}";node/3650788745;fast_food;Hai Lúa;Unknown;Unknown;;yes;vietnamese;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=3650788745;48.861715299726605;2.353572
48.87470299972341, 2.3312483;"{""coordinates"": [2.3312483, 48.87470299972341], ""type"": ""Point""}";node/10648878721;restaurant;Moom Mam;Unknown;Unknown;Mo-Su 12:00-14:30,19:00-22:30;yes;thai;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33153385873;https://www.moommam.fr/;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=10648878721;48.87470299972341;2.3312483
48.847516199730144, 2.3384838;"{""coordinates"": [2.3384838, 48.847516199730144], ""type"": ""Point""}";node/4820131022;cafe;La Terrasse de Madame;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=4820131022;48.847516199730144;2.3384838
48.82719409973517, 2.3669454;"{""coordinates"": [2.3669454, 48.82719409973517], ""type"": ""Point""}";node/5868822509;fast_food;Popote & Papote;Unknown;Unknown;"Mo-Sa 06:30-10:30, Mo 11:45-14:30, Tu-Fr 11:45-21:30, Sa 11:45-15:30; Su 06:30-11:00";yes;bagel;Unknown;Unknown;Unknown;yes;Unknown;Unknown;Unknown;Unknown;Unknown;https://popote-et-papote.business.site/;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=5868822509;48.82719409973517;2.3669454
48.859512699727176, 2.3519462;"{""coordinates"": [2.3519462, 48.859512699727176], ""type"": ""Point""}";node/3391851182;bar;Les Fontaines;Unknown;Unknown;Mo-Su 10:30-02:00;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 9 83 33 95 05;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=3391851182;48.859512699727176;2.3519462
48.87693399972284, 2.3532157;"{""coordinates"": [2.3532157, 48.87693399972284], ""type"": ""Point""}";node/10314410358;restaurant;Blossom Burgers;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=10314410358;48.87693399972284;2.3532157
48.86571479972562, 2.3712517;"{""coordinates"": [2.3712517, 48.86571479972562], ""type"": ""Point""}";node/5310940941;restaurant;Maythai;Unknown;Unknown;"Tu-Th 12:00-14:45,19:00-22:45; Fr 12:00-14:45,19:00-23:00; Sa,Su 12:00-15:00,19:00-22:45";yes;thai;yes;Unknown;Unknown;yes;Unknown;Unknown;95;Unknown;+33 1 47 00 19 65;https://maythai.fr/;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=5310940941;48.86571479972562;2.3712517
48.83844279973239, 2.3510766;"{""coordinates"": [2.3510766, 48.83844279973239], ""type"": ""Point""}";node/844074938;cafe;Verse Toujours;Unknown;Unknown;PH,Mo-Su 07:00-02:00;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=844074938;48.83844279973239;2.3510766
48.82346849973611, 2.3234614;"{""coordinates"": [2.3234614, 48.82346849973611], ""type"": ""Point""}";node/1579679658;fast_food;Les Délices d'Orléans;Unknown;Unknown;;yes;kebab;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=1579679658;48.82346849973611;2.3234614
48.881746999721656, 2.3367354;"{""coordinates"": [2.3367354, 48.881746999721656], ""type"": ""Point""}";node/9055956987;restaurant;Mitao;Unknown;Unknown;;yes;asian,chinese;Unknown;Unknown;Unknown;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=9055956987;48.881746999721656;2.3367354
48.864471999725936, 2.330284;"{""coordinates"": [2.330284, 48.864471999725936], ""type"": ""Point""}";node/9247842748;cafe;Café Kitsuné;Unknown;Unknown;Mo-Su 10:30-13:00, 14:00-18:00;yes;teahouse;Unknown;Unknown;Unknown;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=9247842748;48.864471999725936;2.330284
48.82836839973488, 2.3161973;"{""coordinates"": [2.3161973, 48.82836839973488], ""type"": ""Point""}";node/1044767617;restaurant;Le 14 Juillet;Unknown;Unknown;Mo-Su 12:00-23:00;yes;french;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=1044767617;48.82836839973488;2.3161973
48.88625979972053, 2.3626862;"{""coordinates"": [2.3626862, 48.88625979972053], ""type"": ""Point""}";node/1035711035;pub;Au rendez-vous des chauffeurs;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=1035711035;48.88625979972053;2.3626862
48.85648069972791, 2.2928406;"{""coordinates"": [2.2928406, 48.85648069972791], ""type"": ""Point""}";node/7008116686;cafe;Café Ribe;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=7008116686;48.85648069972791;2.2928406
48.860536699726914, 2.3547274;"{""coordinates"": [2.3547274, 48.860536699726914], ""type"": ""Point""}";node/5871571673;cafe;Chacun ses Goûts;Unknown;Unknown;Mo-Su 12:30-20:00;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=5871571673;48.860536699726914;2.3547274
48.85004689972952, 2.3497403;"{""coordinates"": [2.3497403, 48.85004689972952], ""type"": ""Point""}";node/4403798190;restaurant;Bistro des Lettres;Unknown;Unknown;Mo-Su 12:00-22:30;yes;french;yes;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 (0)1 73 71 72 39;https://www.bistrodeslettres.com;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=4403798190;48.85004689972952;2.3497403
48.833258199733685, 2.3868999;"{""coordinates"": [2.3868999, 48.833258199733685], ""type"": ""Point""}";node/1793052282;fast_food;Five Guys;Unknown;Five Guys;"Su-Th 11:00-24:00; Fr-Sa 11:00-02:00";yes;burger;yes;Unknown;Unknown;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=1793052282;48.833258199733685;2.3868999
48.88009249972206, 2.3523639;"{""coordinates"": [2.3523639, 48.88009249972206], ""type"": ""Point""}";node/1490547177;restaurant;Romy's;Unknown;Unknown;Mo-Su 07:00-26:00;yes;Unknown;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=1490547177;48.88009249972206;2.3523639
48.8662275997255, 2.3510465;"{""coordinates"": [2.3510465, 48.8662275997255], ""type"": ""Point""}";node/5955631278;bar;Mamma Mia;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=5955631278;48.8662275997255;2.3510465
48.863156899726256, 2.3514415;"{""coordinates"": [2.3514415, 48.863156899726256], ""type"": ""Point""}";node/11522827482;restaurant;So fresh;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=11522827482;48.863156899726256;2.3514415
48.839415999732154, 2.4083895;"{""coordinates"": [2.4083895, 48.839415999732154], ""type"": ""Point""}";node/3299205633;restaurant;Pizza Hut;Pizza Hut;Pizza Hut;Mo-Su 11:30-23:00,12:00-23:00;yes;pizza;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=3299205633;48.83941599973216;2.4083895
48.89106499971934, 2.3313645;"{""coordinates"": [2.3313645, 48.89106499971934], ""type"": ""Point""}";node/2610673846;restaurant;Le 6 Bis;Unknown;Unknown;Mo-Sa;yes;french;Unknown;Unknown;Unknown;Unknown;yes;Unknown;Unknown;Unknown;+33142291995;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=2610673846;48.89106499971934;2.3313645
48.86448199972594, 2.344149;"{""coordinates"": [2.344149, 48.86448199972594], ""type"": ""Point""}";node/9654678034;restaurant;DokiDoki;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=9654678034;48.86448199972594;2.344149
